ID	Name	Type	Orig	New Morph	New Obj Type	LType	LCode	LValue	LMorph	Bar	Ring	
D02862	1E 0657-558 CAR	galaxy--unclassified			C	GALAXY CLUSTER						
D02840	Arp 148 UMA	galaxy--unclassified		Irr	X	G	10.0 ± 2.0	10	I		R	
D02861	Arp 188 DRA	barred-spiral	SB	SAc	S	G	4.9 ± 0.5	4.9	Sc	B		
D02847	Arp 248 VIR	barred-spiral	SBb	SBb	B	G	3.1 ± 0.5	3.1	SBb	B		
D01463	C 101	galaxy--spiral	SAB(r)bc	SA(r)bc	S	G	4.0 ± 0.2	4	Sbc	B	R	
D00269	C 12	galaxy--spiral	SAB(rs)cd	SAB(rs)c	I	G	5.9 ± 0.3	5.9	SABc	B		
D00289	C 17	dwarf-galaxy	dSph/dE5	dSph/dE5	E	G	-4.8 ± 0.6	-4.8	E			
D00290	C 18	dwarf-galaxy	dSph/dE3, Sy2	E3	E	G	-4.8 ± 0.6	-4.8	E			
D00133	C 21	irregular-galaxy	IBm	IBm	X	G	9.8 ± 0.5	9.8	IB	B		
D00009	C 23	galaxy--spiral	SA(s)b?	SA(s)b	S	G	3.1 ± 0.4	3.1	Sb			
D00291	C 24	seyfert-galaxy	cD pec, NLRG	S0 pec	L	G	-2.2 ± 1.6	-2.2	S0			
D00135	C 26	galaxy--spiral	Sc	SAc	S	G	6.0 ± 0.6	6	Sc			
D00292	C 29	galaxy--spiral	SAB(rs)bc	SAB(rs)b	I	G	4.0 ± 0.2	4	SABb	B		
D00166	C 3	barred-spiral	SB(s)dm	SB(s)d	B	G	8.0 ± 0.3	8	SBd	B		
D00018	C 30	galaxy--spiral	SA(s)b	SA(s)bc	S	G	3.9 ± 0.3	3.9	Sbc			
D00148	C 32	barred-spiral	SB(s)d	SB(s)cd	B	G	6.5 ± 0.7	6.5	SBcd	B		
D00294	C 35	galaxy--elliptical	E4	E4	E	G	-4.3 ± 0.5	-4.3	E			
D00145	C 36	galaxy--spiral	Sa:	SAc	S	G	6.0 ± 0.4	6	Sc	B		
D00144	C 38	galaxy--spiral	Sc	SAb	S	G	3.2 ± 0.7	3.2	Sb			
D00296	C 40	galaxy--lenticular	(R)SA(rs)0+	S0-a	L	G	-0.8 ± 1.1	-0.8	S0-a		R	
D00298	C 43	galaxy--spiral	SA(S)ab	SAab	S	G	2.0 ± 0.3	2	Sab			
D00299	C 44	barred-spiral	SB(s)c	SB(s)bc	B	G	4.3 ± 0.9	4.3	SBbc	B		
D00300	C 45	galaxy--spiral	SAB(rs)bc	SAB(rs)b	I	G	4.0 ± 0.3	4	SABb	B		
D00304	C 48	galaxy--spiral	SA(r)ab	SA(r)b	S	G	1.6 ± 0.6	1.6	Sab		R	
D00075	C 5	galaxy--spiral	SAB(rs)cd	SABc	I	G	6.0 ± 0.3	6	SABc	B		
D00306	C 51	irregular-galaxy	IB(s)m	IB(s)m	X	G	9.9 ± 0.3	9.9	I	B		
D00307	C 52	galaxy--elliptical	E6	E3	E	G	-4.5 ± 0.8	-4.5	E			
D00162	C 53	galaxy--spiral	S0	E-S0	L	G	-2.9 ± 0.6	-2.9	E-S0			
D00234	C 57	irregular-galaxy	IB(s)m	IB(s)m	X	G	9.8 ± 0.4	9.8	IB	B		
D00311	C 60	barred-spiral	SB(s)m pec	SB(s)m pec	B	G	8.9 ± 0.5	8.9	SBm	B		
D00312	C 61	barred-spiral	SB(s)m pec	SB(s)m pec	B	G	8.9 ± 0.2	8.9	SBm	B		
D00313	C 62	galaxy--spiral	SAB(s)d	SABc	I	G	6.9 ± 0.5	6.9	SABc	B		
D00058	C 65	galaxy--spiral	SAB(s)c	SAB(s)c	I	G	5.1 ± 0.4	5.1	SABc	B		
D00315	C 67	barred-spiral	SBb	SBb	B	G	3.3 ± 0.5	3.3	SBb	B	R	
D00285	C 7	galaxy--spiral	SAB(s)cd	SAB(s)c	I	G	6.0 ± 0.3	6	SABc	B		
D00060	C 70	galaxy--spiral	SA(s)d	SA(s)cd	S	G	6.9 ± 0.4	6.9	Scd			
D00319	C 72	barred-spiral	SB(s)m	SB(s)m	B	G	8.8 ± 0.8	8.8	SBm	B		
D01339	C 77	galaxy--lenticular	S0 pec	S0	L	G	-2.1 ± 0.6	-2.1	S0			
D01323	C 83	barred-spiral	SB(s)cd	SB(s)c	B	G	6.1 ± 0.6	6.1	SBc	B		
D02834	Dwingeloo 1 CAS	dwarf-galaxy	SB(s)cd	SB(s)cd	B	G	4.0 ± 1.8	4	SBbc	B		
F00111	HGC 42c HYA	galaxy--elliptical			C	GALAXY GROUP						
D00170	IC 10	irregular-galaxy	Im	IBm	X	G	9.9 ± 0.6	9.9	IB	B		
F01613	IC 1025	galaxy--unclassified		SBc	B	G	4.6 ± 2.6	4.6	SBc	B		
D02552	IC 1029	galaxy--spiral	SABb	SABb	I	G	3.0 ± 0.4	3	SABb	B		
F00364	IC 1039	galaxy--lenticular	S0	S0	L	G	-1.6 ± 1.0	-1.6	S0	B		
F00365	IC 1041	barred-spiral	SBa	SBa	B	G	1.3 ± 2.0	1.3	SBa	B		
F00366	IC 1042	galaxy--lenticular	S0	S0	L	G	-2.0 ± 0.6	-2	S0	B		
F00367	IC 1043	galaxy--spiral	SAa	SAa	S	G	1.0 ± 2.0	1	Sa			PGC 2800989
F00372	IC 1066	galaxy--spiral	SABb	SABb	I	G	3.2 ± 1.7	3.2	SABb	B		
F00371	IC 1067	barred-spiral	SB(s)b	SB(s)b	S	G	3.0 ± 0.3	3	Sb	B	R	
F00370	IC 1070	galaxy--spiral	SAbc	SAbc	S	G	4.0 ± 1.4	4	Sbc			
F00373	IC 1077	galaxy--spiral	Sc	SBbc	B	G	4.2 ± 0.6	4.2	SBbc	B		
F00374	IC 1081	galaxy--spiral	Sa	S0-a	L	G	0.2 ± 0.7	0.2	S0-a	B		
F00375	IC 1084	galaxy--unclassified		E-S0	L	G	-2.7 ± 2.1	-2.7	E-S0			
F00381	IC 1091	galaxy--spiral	SAb	SAb	S	G	3.1 ± 0.5	3.1	Sb	B		
F00392	IC 1131	galaxy--elliptical		E3	E	G	-4.8 ± 0.8	-4.8	E			
F00393	IC 1133	galaxy--spiral	Sc	SBc	B	G	5.9 ± 0.4	5.9	SBc	B		
F01675	IC 1170	galaxy--elliptical	E/S0	E-S0	L	G	-2.5 ± 1.1	-2.5	E-S0			
F01686	IC 1173	galaxy--unclassified		SABc	I	G	4.8 ± 1.3	4.8	SABc	B		
F01684	IC 1178	galaxy--unclassified		E-S0	L	G	-3.0 ± 0.5	-3	E-S0			
F01679	IC 1179	galaxy--unclassified		SAc	S	G	5.8 ± 0.7	5.8	Sc	B	R	
F01685	IC 1181	galaxy--unclassified		S0-a	L	G	-0.2 ± 0.6	-0.2	S0-a	B		
F01688	IC 1182	galaxy--unclassified		S0-a	L	G	-1.2 ± 1.0	-1.2	S0-a			
F01689	IC 1183	galaxy--unclassified		E5	E	G	-3.6 ± 1.0	-3.6	E	B		
F01690	IC 1185	galaxy--unclassified		SAab	S	G	1.6 ± 1.0	1.6	Sab			
F01687	IC 1186	galaxy--unclassified		SAb	S	G	2.8 ± 0.8	2.8	Sb	B	R	
F01691	IC 1192	galaxy--unclassified		SBb	B	G	2.7 ± 1.0	2.7	SBb	B		
F01692	IC 1193	galaxy--unclassified		S0-a	L	G	-0.9 ± 0.5	-0.9	S0-a	B		
F01693	IC 1194	galaxy--unclassified		S0	L	G	-1.6 ± 1.1	-1.6	S0			
F00742	IC 1251	galaxy--spiral	Sc	SAc	S	G	6.0 ± 0.4	6	Sc			
F00402	IC 1252	galaxy--spiral	Sab	SAab	S	G	2.0 ± 0.3	2	Sab			
F00743	IC 1254	galaxy--unclassified	Sb	SAb	S	G	3.4 ± 1.5	3.4	Sb	B		
F00404	IC 1261	galaxy--elliptical		E5	E	G	-3.6 ± 1.5	-3.6	E			
D00800	IC 127	galaxy--spiral	SAb	SAb	S	G	3.2 ± 0.8	3.2	Sb			
F01384	IC 1296	barred-spiral	SBb	SBbc	B	G	3.6 ± 0.6	3.6	SBbc	B		
F00444	IC 1417	galaxy--spiral	Sab	SAb	S	G	3.1 ± 0.7	3.1	Sb			
D02553	IC 1438	galaxy--spiral	Sa:r	SAa:r	S	G	1.2 ± 0.7	1.2	Sa	B	R	
F00491	IC 1439	galaxy--spiral	Sa:r	SBa	B	G	1.0 ± 1.0	1	SBa	B	R	
D01529	IC 1459	galaxy--elliptical	E3	E3	E	G	-4.8 ± 0.4	-4.8	E			
F00834	IC 1488	galaxy--unclassified		SAb	S	G	3.1 ± 0.5	3.1	Sb			
D02554	IC 1558	galaxy--spiral	SABm	SABm	I	G	9.0 ± 0.5	9	SABm	B		
F01039	IC 1584	galaxy--unclassified		SABb	I	G	4.0 ± 2.0	4	SABb	B		
D02555	IC 1616	galaxy--spiral	Sbc	SAbc	S	G	3.9 ± 0.4	3.9	Sbc	B	R	
F01442	IC 1618	galaxy--lenticular	S0	S0	L	G	-2.0 ± 0.4	-2	S0			
F01455	IC 1619	galaxy--unclassified		S0	L	G	-2.0 ± 2.0	-2	S0			
F00496	IC 1627	galaxy--spiral	Sc	SBbc	B	G	3.6 ± 1.0	3.6	SBbc	B		
D02556	IC 1633	galaxy--lenticular	S0	E3	E	G	-3.9 ± 0.6	-3.9	E			
F00859	IC 1636	galaxy--lenticular	S0	S0	L	G	-2.1 ± 0.5	-2.1	S0			
F00860	IC 1638	galaxy--elliptical	E3	E3	E	G	-4.7 ± 1.5	-4.7	E			
F01081	IC 1643	barred-spiral	SBa	SBa	B	G	1.0 ± 2.0	1	SBa	B	R	
F01459	IC 1679	galaxy--spiral	S0a	S0-a	L	G	0.0 ± 2.0	0	S0-a			
F01460	IC 1680	galaxy--spiral	S0a	S0-a	L	G	-0.3 ± 0.6	-0.3	S0-a			
F01462	IC 1682	galaxy--spiral	Sab	SAab	S	G	1.5 ± 2.1	1.5	Sab			
F01468	IC 1687	galaxy--lenticular	S0-a	S0-a	L	G	-1.0 ± 2.0	-1	S0-a			
F01471	IC 1689	galaxy--lenticular	S0	S0	L	G	-2.0 ± 3.3	-2	S0			
