 0.6816918 +39.592858  722.28 19 AND
10.1401302 -33.842120  238.90 62 ANT
16.2020390 -75.222818  206.33 67 APS
22.4078441 -10.156064  979.85 10 AQR
19.6476459 +02.096360  652.47 22 AQL
17.3285399 -54.083561  237.06 63 ARA
 2.6623744 +19.959053  441.39 39 ARI
 5.9425072 +40.621073  657.44 21 AUR
14.6276508 +29.108047  906.83 13 BOO
 4.7448994 -38.014894  124.86 81 CAE
 6.4162224 +68.435318  756.83 18 CAM
 8.6832192 +19.189402  505.87 31 CNC
13.1476296 +40.041877  465.19 38 CVN
 6.8302387 -21.857106  380.12 43 CMA
 7.6293346 +05.897637  183.37 71 CMI
21.0225750 -18.550517  413.95 40 CAP
 8.9538919 -61.357069  494.18 34 CAR
 1.1685514 +61.583129  598.41 25 CAS
13.0706870 -45.016238 1060.42  9 CEN
22.9714794 +70.823912  587.79 27 CEP
 1.6197811 -08.727667 1231.41  4 CET
10.6950132 -78.993614  131.59 79 CHA
14.7708364 -63.076879   93.35 85 CIR
 5.7934937 -35.441400  270.18 54 COL
12.7529658 +22.223305  386.47 42 COM
18.6467655 -41.053710  127.70 80 CRA
15.8872320 +32.093072  178.71 73 CRB
12.4239258 -18.096379  183.80 70 CRV
11.4075635 -15.650659  282.40 53 CRT
12.4481545 -59.992374   68.45 88 CRU
20.6100642 +42.536327  803.98 16 CYG
20.6802408 +12.155585  188.55 69 DEL
 5.1196574 -60.977305  179.17 72 DOR
16.6578960 +64.184601 1082.95  8 DRA
21.2017824 +07.465545   71.64 87 EQU
 3.7425048 -20.767627 1137.92  6 ERI
 2.7659606 -31.215320  397.50 41 FOR
 7.1558504 +23.253119  513.76 30 GEM
22.5341962 -44.933537  365.51 45 GRU
17.2875889 +28.118352 1225.15  5 HER
 3.2326672 -52.974629  248.88 58 HOR
10.5677493 -17.137458 1302.84  1 HYA
 2.3679085 -70.985570  243.04 61 HYI
21.6104956 -58.121953  294.01 49 IND
22.4973891 +45.040691  200.69 68 LAC
10.6933004 +14.780165  946.96 12 LEO
10.3490416 +33.320787  231.96 64 LMI
 5.5746528 -18.997856  290.29 51 LEP
15.2244733 -15.158926  538.05 29 LIB
15.2814790 -42.201449  333.68 46 LUP
 8.0143961 +46.232331  545.39 28 LYN
18.8433796 +36.524693  286.48 52 LYR
 5.4883002 -77.095480  153.48 75 MEN
20.9646853 -35.937835  209.51 66 MIC
 7.0190606 -02.667058  481.57 35 MON
12.5727924 -69.754140  138.35 77 MUS
16.0721655 -51.528726  165.29 74 NOR
20.1275622 -82.631196  291.05 50 OCT
17.3022478 -05.217110  948.34 11 OPH
 5.5948885 +05.138143  594.12 26 ORI
19.6064744 -64.784051  377.67 44 PAV
22.7015668 +19.117211 1120.79  7 PEG
 3.4983203 +43.884509  615.00 24 PER
 0.7654959 -47.186750  469.32 37 PHE
 5.6182317 -52.239238  246.74 59 PIC
 0.6482602 +10.770362  889.42 14 PSC
22.2857963 -30.510818  245.37 60 PSA
 7.6191621 -32.961463  673.43 20 PUP
 8.9122056 -28.387602  220.83 65 PYX
 3.8964465 -60.708283  113.94 82 RET
19.7101332 +18.628717   79.92 86 SGE
19.1849153 -27.091776  867.43 15 SGR
16.7902590 -31.817670  496.78 33 SCO
 0.4657625 -31.714312  474.76 36 SCL
18.6730626 -09.851326  109.11 84 SCT
15.6940214 +09.878836  428.48 23 SER1
18.1594009 -06.318851  208.44 23 SER2
16.5001885 +04.567581  636.93 23 SER
10.2725601 -02.605358  313.52 47 SEX
 4.4221310 +16.839410  797.25 17 TAU
19.3274808 -50.786922  251.51 57 TEL
 2.1394035 +32.057844  131.85 78 TRI
16.0630687 -65.641693  109.98 83 TRA
23.8968438 -63.916632  294.56 48 TUC
10.9825315 +52.529003 1279.66  3 UMA
15.2569670 +76.105337  255.86 56 UMI
 9.6235624 -47.409512  499.65 32 VEL
13.2898872 -02.638660 1294.43  2 VIR
 7.8063845 -69.346260  141.35 76 VOL
20.2861650 +24.523796  268.17 55 VUL
