D00001	M 1
D00002	NGC 6210
D00003	M 92
D00004	NGC 6543
F01330	IC 4677
F00540	NGC 6552
D00005	M 57
F01384	IC 1296
D00006	M 56
D00008	NGC 6888
D00009	NGC 891
D00010	NGC 7293
D00011	NGC 6229
D00012	NGC 6992
D00013	NGC 7023
F00605	Cr 427
D00014	NGC 7009
D00015	IC 1396
D00016	M 30
D00017	IC 5146
D00018	NGC 7331
F00541	NGC 7326
F00543	NGC 7335
F00544	NGC 7336
F00545	NGC 7337
F00546	NGC 7340
D00019	NGC 7662
D00020	M 33
F00550	NGC 588
F00551	NGC 592
F00553	IC 135
F00552	IC 136
F00549	IC 131
F00547	IC 132
F00548	IC 133
F00555	NGC 595
F00554	IC 137
F00556	IC 142
F00557	IC 143
F00029	NGC 604
D00021	M 74
D00022	NGC 772
F00571	NGC 770
D00023	NGC 1232
D00024	NGC 1300
D00025	NGC 1535
D00026	NGC 2419
D00027	NGC 1555
F00895	NGC 1554
F01706	Ced 32c
D00028	IC 405
D00029	M 38
D00030	M 37
D00031	M 36
D00032	M 35
D00033	NGC 2158
D00034	NGC 2237
D00035	NGC 2264
D00036	M 2
D00038	NGC 103
D00039	NGC 225
D00041	NGC 7790
D00042	NGC 7788
D00043	NGC 381
D00044	NGC 281
F00492	IC 1590
D00045	NGC 457
D00046	NGC 436
D00047	M 52
D00048	M 103
D00049	NGC 663
D00050	NGC 654
D00051	NGC 659
D00052	M 31
F01708	SDSO-1
D00053	M 32
D00054	M 110
D00056	NGC 752
D00057	NGC 288
D00058	NGC 253
D00059	NGC 7793
D00060	NGC 300
D00061	M 34
D00062	NGC 1528
D00063	NGC 1545
D00064	NGC 869
D00065	NGC 884
D00066	NGC 1499
D00067	M 76
D00068	IC 1805
D00069	NGC 1027
D00070	M 77
D00071	NGC 1055
D00072	IC 1848
D00073	NGC 1502
D00074	NGC 1501
D00075	IC 342
D00076	M 45
D00077	NGC 1647
D00078	NGC 1746
D00079	M 42
D00080	M 43
D00081	NGC 1977
D00082	NGC 1981
D00083	NGC 2024
D00084	M 78
F01422	NGC 2064
F01423	NGC 2067
F01424	NGC 2071
D00086	NGC 2112
D00087	NGC 2169
D00088	NGC 2194
D00089	NGC 2174
F00824	NGC 2175
D00091	IC 418
D00092	NGC 2266
D00093	NGC 2392
D00094	NGC 2420
D00095	M 50
D00096	M 48
D00097	M 46
F00874	NGC 2438
D00098	M 47
D00099	NGC 2359
D00100	M 41
D00102	NGC 2354
D00103	NGC 2362
D00104	M 93
D00105	NGC 2440
D00106	M 44
F00628	IC 2388
F00626	NGC 2637
F00627	NGC 2643
D00107	M 67
D00108	M 65
F01353	IC 2694
D00109	M 66
D00110	NGC 3628
F00794	IC 2745
D00111	M 96
D00112	M 95
D00113	M 105
F00791	NGC 3384
F00792	NGC 3389
D00116	NGC 3412
D00117	NGC 3377
F00789	NGC 3377B
F00790	NGC 3391
D00118	NGC 3489
D00119	NGC 2903
D00120	NGC 3242
D00121	M 68
D00122	M 83
D00123	M 81
D00124	M 82
D00125	M 108
D00126	M 109
D00127	M 97
D00128	M 3
D00129	M 51
F01154	IC 4263
F00539	NGC 5195
D00130	M 63
D00131	M 94
D00132	M 106
F01151	NGC 4231
F01152	NGC 4232
F00208	NGC 4248
D00133	NGC 4449
D00134	NGC 4490
F00729	NGC 4485
D00135	NGC 4244
D00136	M 98
F00640	NGC 4192
F00639	NGC 4186
D00137	M 99
D00138	M 100
F00653	IC 783
F00654	NGC 4322
F00655	NGC 4328
D00139	M 85
F00657	IC 3292
F00656	NGC 4394
D00140	M 86
F00230	NGC 4402
F00977	IC 3355
D00141	M 84
F00229	IC 3303
F00228	NGC 4387
D00142	M 53
D00143	NGC 5053
D00144	NGC 4565
F00669	IC 3533
F00668	NGC 4562
F00667	IC 3582
D00145	NGC 4559
F00666	NGC 4559
F01143	IC 3598
D00146	M 64
D00147	NGC 4147
D00148	NGC 4631
F00265	NGC 4627
D00150	NGC 4656
D00151	NGC 4414
D00153	NGC 4314
F00652	NGC 4308
D00154	NGC 4169
F00636	NGC 4170
F00638	NGC 4174
F00637	NGC 4175
D00155	NGC 3486
D00156	NGC 3504
F00809	NGC 3512
D00158	NGC 2841
D00160	NGC 188
D00162	NGC 3115
D00163	NGC 4361
D00164	NGC 3981
D00165	NGC 2683
D00166	NGC 4236
D00167	NGC 3198
D00168	NGC 2281
D00169	NGC 1931
D00170	IC 10
D00171	NGC 4762
F01008	NGC 4754
D00173	M 60
F01003	NGC 4638
F01005	NGC 4637
F01004	NGC 4647
D00175	M 59
F01598	IC 3653
F01002	IC 3665
F01001	IC 3672
D00177	M 58
F01597	IC 3573
D00178	M 87
F00247	NGC 4476
F00246	NGC 4478
F01721	NGC 4486B
F00248	NGC 4486A
F01578	IC 3443
F01580	IC 3457
F01579	IC 3459
D00180	M 90
F00999	IC 3583
F01000	NGC 4584
D00181	M 89
F00992	IC 3506
F00993	IC 3540
F00995	IC 3574
F00994	IC 3586
D00185	NGC 4438
F00981	NGC 4435
F00983	IC 3388
F00982	IC 3393
D00186	NGC 4461
F00240	NGC 4458
D00188	NGC 4477
F00249	NGC 4473
F00250	NGC 4479
D00189	M 5
F00882	IC 4537
D00190	M 12
D00191	M 10
D00192	M 107
D00193	M 101
F00932	NGC 5449
F00931	NGC 5447
F00933	NGC 5451
F00934	NGC 5453
F00935	NGC 5455
F00936	NGC 5458
F00937	NGC 5461
F00938	NGC 5462
F00939	NGC 5471
F00940	NGC 5477
D00194	M 102
F00740	NGC 5862
F00741	NGC 5826
D00195	NGC 5466
D00196	NGC 5529
F00575	NGC 5524
F00574	NGC 5527
D00197	NGC 5557
F00576	NGC 5544
F00577	NGC 5545
D00198	NGC 5676
D00199	NGC 5689
F00580	NGC 5682
F00581	NGC 5683
F00582	NGC 5693
F00583	NGC 5700
D00200	M 13
F00772	IC 4617
D00201	NGC 6207
D00202	M 4
D00203	M 80
F01491	IC 4600
D00204	M 6
F01495	Barnard 275
