dso_id,notes
1,"Irregular shape and highly structured.   Central star is a pulsar, mag 16.6."
2,"Irregularly shaped though generally round.  Central star mag 12.7.    Stars in FOV have interesting color contrasts."
3,"Highly concentrated."
4,"Very bright and bluish.   Saturn-sized.   The central star (mag 11) sometimes appears yellowish in contrast."
5,"Very bright, central star mag 15.2."
6,"Low concentration - easy to resolve."
8,"Encircles and crosses a diamond-shaped quartet of 7th-8th magnitude stars."
9,"An edge-on spiral galaxy, that is a member of the NGC 1023 group, with a prominent dust lane."
10,"One of the nearest PN.   Low surface brightness and large size makes this a challenging object."
11,"Condensed.  Forms a triangle with two 8th magnitude stars."
12,"Faint fibrous SNR.   Best under dark conditions and nearly overhead.   O III and Ha filters improve contrast."
13,"One of the brightest reflection nebulae with a bright 7th magnitude star at center."
14,""
15,"Cluster has ~50 stars, weakly concentrated and detached, mag 4+.    Nebulosity might be apparent using a UHC filter."
16,"Small with a tight core with brighter stars throughout the disk."
17,""
18,"Elongated spiral with several companions, all of which are distant objects."
19,"The age is about 3,080 years.

The central star is a sdO star, about 60% of the Sun's mass, Mag = 15.6.

Overall, it's oval-shaped and slightly elongated."
20,"Very large spiral but with extremely low LSB.   When resolved, dotted with many SFRs."
21,"LSB, but face-on with expansive spiral arms."
22,"Asymmetrical with a faint companion (NGC 770, 13th mag, 3' to the SW)."
23,"Bright face-on galaxy with distinct spiral arms."
24,"Bright large barred spiral with distinct arm and wispy outer arms."
25,"Bright inner core with outer haze.   Central star is mag 12.2.  Larger than Jupiter."
26,"Small and faint (owing to its extreme distance) with two 7th-8th magnitude stars to the W."
27,"Surrounding T Tauri."
28,""
29,""
30,"The brightest of the three Messier clusters in Auriga."
31,""
32,"Large bright open cluster - easy to spot."
33,"Very compact cluster of faint (mag 12+) stars."
34,"Very large nebula.   LSB."
35,"Cluster and nebulosity."
36,""
38,"Irregularly-shaped cluster in a rich field of background stars."
39,"Large and loose with several stars 9-10th magnitude."
41,"Small wedge-shaped cluster or about 40 stars; the brightest are around 11th magnitude."
42,"Slight concentration of stars over the background.  Close to NGC 7790."
43,"About 50 stars, many marking out a large circle."
44,"Sparse cluster with extensive nebulosity."
45,"The SE corner star is φ Cas (mag 4.95)  with trails of stars extending to the NW.
On the NE side is the very red variable star V466 Cas."
46,"About 30 stars 11th magnitude and fainter.  Slightly trapezoidal in shape."
47,"Rich and bright dominated by an 8th magnitude star with ~100 fainter stars."
48,"Small tight cluster; brightest stars are ~9th magnitude."
49,"Large, bright, and somewhat U-shaped.  Stars from 9th magnitude and higher."
50,"Small, and dominated by a 7th magnitude stars but dissolving in a small cloud of much fainter stars."
51,"44 Cas is in the FOV.  Small somewhat sparse concentration of stars."
52,""
53,""
54,"Largest companion galaxy to M 31 and nearest dwarf elliptical to the MWG, on the ""far side"" of M 31 (50 kly further out)."
56,"A large scattered cluster of fairly bright stars."
57,"Low concentration; resolvable.  Slight extended to the SW."
58,"Large and elongated.  Small nucleus with mottled arms strewn with very thin dust lanes."
59,"Elongated with bright core and fluffy structure that quickly dissipates, esp. on the E side."
60,"Elongated with S-shaped arms, dotted with SFRs."
61,"About 50 stars (mag 7+) detached, and weakly concentrated."
62,"Detached, 40 stars mag 9+."
63,"20 stars, weak concentration mag 7+."
64,"W part of the Double cluster.   200 stars mag 6+, concentrated."
65,"E part of the Double cluster.  125 stars, mag 8+, concentrated, detached."
66,"Very large LSB nebula.  Responds to nebula filters (particularly Hβ)."
