id,status,notes,dso_id,ready_to_go
1,1,"Irregular shape and highly structured.   Central star is a pulsar, mag 16.6.",1,1
2,1,"Irregularly shaped though generally round.  Central star mag 12.7.    Stars in FOV have interesting color contrasts.",2,1
3,1,"Highly concentrated.",3,1
4,1,"Very bright and bluish.   Saturn-sized.   The central star (mag 11) sometimes appears yellowish in contrast.",4,1
5,1,"Very bright, central star mag 15.2.",5,1
6,1,"Low concentration - easy to resolve.",6,1
8,1,"Encircles and crosses a diamond-shaped quartet of 7th-8th magnitude stars.",8,1
9,1,"An edge-on spiral galaxy, that is a member of the NGC 1023 group, with a prominent dust lane.",9,1
10,1,"One of the nearest PN.   Low surface brightness and large size makes this a challenging object.",10,1
11,1,"Condensed.  Forms a triangle with two 8th magnitude stars.",11,1
12,1,"Faint fibrous SNR.   Best under dark conditions and nearly overhead.   O III and Ha filters improve contrast.",12,1
13,1,"One of the brightest reflection nebulae with a bright 7th magnitude star at center.",13,1
14,1,"",14,1
15,1,"Cluster has ~50 stars, weakly concentrated and detached, mag 4+.    Nebulosity might be apparent using a UHC filter.",15,1
16,1,"Small with a tight core with brighter stars throughout the disk.",16,1
17,1,"",17,1
18,1,"Elongated spiral with several companions, all of which are distant objects.",18,1
19,1,"The age is about 3,080 years.

The central star is a sdO star, about 60% of the Sun's mass, Mag = 15.6.

Overall, it's oval-shaped and slightly elongated.",19,1
20,1,"Very large spiral but with extremely low LSB.   When resolved, dotted with many SFRs.",20,1
21,1,"LSB, but face-on with expansive spiral arms.",21,1
22,1,"Asymmetrical with a faint companion (NGC 770, 13th mag, 3' to the SW).",22,1
23,1,"Bright face-on galaxy with distinct spiral arms.",23,1
24,1,"Bright large barred spiral with distinct arm and wispy outer arms.",24,1
25,1,"Bright inner core with outer haze.   Central star is mag 12.2.  Larger than Jupiter.",25,1
26,1,"Small and faint (owing to its extreme distance) with two 7th-8th magnitude stars to the W.",26,1
27,1,"Surrounding T Tauri.",27,1
28,1,"",28,1
29,1,"",29,1
30,1,"The brightest of the three Messier clusters in Auriga.",30,1
31,1,"",31,1
32,1,"Large bright open cluster - easy to spot.",32,1
33,1,"Very compact cluster of faint (mag 12+) stars.",33,1
34,1,"Very large nebula.   LSB.",34,1
35,1,"Cluster and nebulosity.",35,1
36,1,"",36,1
38,1,"Irregularly-shaped cluster in a rich field of background stars.",38,1
39,1,"Large and loose with several stars 9-10th magnitude.",39,1
41,1,"Small wedge-shaped cluster or about 40 stars; the brightest are around 11th magnitude.",41,1
42,1,"Slight concentration of stars over the background.  Close to NGC 7790.",42,1
43,1,"About 50 stars, many marking out a large circle.",43,1
44,1,"Sparse cluster with extensive nebulosity.",44,1
45,1,"The SE corner star is φ Cas (mag 4.95)  with trails of stars extending to the NW.
On the NE side is the very red variable star V466 Cas.",45,1
46,1,"About 30 stars 11th magnitude and fainter.  Slightly trapezoidal in shape.",46,1
47,1,"Rich and bright dominated by an 8th magnitude star with ~100 fainter stars.",47,1
48,1,"Small tight cluster; brightest stars are ~9th magnitude.",48,1
49,1,"Large, bright, and somewhat U-shaped.  Stars from 9th magnitude and higher.",49,1
50,1,"Small, and dominated by a 7th magnitude stars but dissolving in a small cloud of much fainter stars.",50,1
51,1,"44 Cas is in the FOV.  Small somewhat sparse concentration of stars.",51,1
52,1,"",52,1
53,1,"",53,1
54,1,"Largest companion galaxy to M 31 and nearest dwarf elliptical to the MWG, on the ""far side"" of M 31 (50 kly further out).",54,1
56,1,"A large scattered cluster of fairly bright stars.",56,1
57,1,"Low concentration; resolvable.  Slight extended to the SW.",57,1
58,1,"Large and elongated.  Small nucleus with mottled arms strewn with very thin dust lanes.",58,1
59,1,"Elongated with bright core and fluffy structure that quickly dissipates, esp. on the E side.",59,1
60,1,"Elongated with S-shaped arms, dotted with SFRs.",60,1
61,1,"About 50 stars (mag 7+) detached, and weakly concentrated.",61,1
62,1,"Detached, 40 stars mag 9+.",62,1
63,1,"20 stars, weak concentration mag 7+.",63,1
64,1,"W part of the Double cluster.   200 stars mag 6+, concentrated.",64,1
65,1,"E part of the Double cluster.  125 stars, mag 8+, concentrated, detached.",65,1
66,1,"Very large LSB nebula.  Responds to nebula filters (particularly Hβ).",66,1
67,1,"Small and dim with two lobes.  Should respond will with dual-band (O III + Ha) filters.",67,1
68,1,"Small cluster and extensive nebulosity.  The cluster appears to be substantially foreground.",68,1
69,1,"Colorful with a wide variation of star brightnesses.",69,1
70,1,"The core and disk are askew from each other.  Bright core dominates.",70,1
71,1,"Large but somewhat faint.   Edge-on with a prominent dust lane.

Sits just S of two bright (mag 6.7 and 7.6 stars.",71,1
72,1,"",72,1
73,1,"Compact with ~65 stars ~7th magnitude and fainter.",73,1
74,1,"Opaque/milky with a central star of 13th magnitude.  An O III filter should bring it out.",74,1
75,1,"Face-on with defined spiral arms, but very LSB.  More challenging than M 33.",75,1
76,1,Pleiades.,76,1
77,1,"> 200 stars, mag 9+, detached and weakly concentrated.",77,1
78,1,"Collection of ~20 field stars, not a true cluster;  mag 8+.",78,1
79,1,"Bright nebula with cluster.",79,1
80,1,"Northern end of the Orion Nebula separated by a dust lane.",80,1
81,1,"",81,1
82,1,"Cluster on N end of NGC 1977.",82,1
83,1,"Intricate and colorful with several dark lanes.",83,1
84,1,"Set of reflection nebulae.",84,1
86,1,"About 70 stars mag 11+.   Mostly detached, slightly concentrated.  Surrounded by faint background nebulosity from NW to S.",86,1
87,1,"About 20 stars (mag 8+), but arranged interestingly.",87,1
88,1,"80 stars, detached but no central concentration.  Stars mag 12+.",88,1
89,1,"Intricate nebulosity surrounding a cluster.",89,1
91,1,"Central star mag 10.2.   Round and mostly uniform disk.  Smaller than Saturn.",91,1
92,1,"V-shaped cluster of ~50 stars mag 11+.   Detached and concentrated.",92,1
93,1,"Slightly irregular in shape; faint outer shell.",93,1
94,1,"Detached cluster of ~100 stars (mag 11+).   Decidedly ""not quite circular"" overall.",94,1
95,1,"80 stars mag 8+, weakly concentrated but detached.",95,1
96,1,"Large scattering of ~80 stars mag 8+.    Some internal structure and color constrast.",96,1
97,1,"Bright, dense cluster of >100 stars mag 9+.   A planetary nebula (NGC 2438) is in the N end of the cluster.",97,1
98,1,"Unconcentrated about 30 stars mag 6+.",98,1
99,1,"",99,1
100,1,"Large, bright cluster with range of color.",100,1
102,1,"Detached, about 100 stars (9th mag and fainter), no concentration.",102,1
103,1,"Dominated by τ CMa (mag 4.4), about 60 stars, detached.",103,1
104,1,"Tight, bright, and beak shaped.   About 80 stars (mag 8+), not very detached.  Dense field of faint stars.",104,1
105,1,"Irregular.   Central star mag 17.7.",105,1
106,1,"",106,1
107,1,"Large cluster, 200 stars (mag 10+) weak concentration.",107,1
108,1,"Highly elongated with ""pointy"" disk.   Bright oval center;  faint dust lane on E side.",108,1
109,1,"Bright nucleus.  Two arms; fluffy structure with faint dust lane features.",109,1
110,1,"Edge on with prominent bisecting dusk lane.",110,1
111,1,"Elongated with inner ring extending NW/SE.  The faint outer disk points N/S.",111,1
112,1,"Elongated with bright inner ring and bar.   Hazy outer disk.",112,1
113,1,"Trio of galaxies of different morphologies.",113,1
116,1,"Bright small core;  elongated halo, no features.",116,1
117,1,"Elongated elliptical;  faint halo.  A few faint galaxies in the FOV.",117,1
118,1,"Elongated, brighter core; outer halo is slightly non-uniform.",118,1
119,1,"Elongated with several spiral arms.",119,1
120,1,"Oval shaped core with outer round halo.  Central star mag 12.3.  Slightly bigger than Saturn-sized.",120,1
121,1,"Very rich - low concentration.",121,1
122,1,"Face-on with two very distinct main arms and third to the S.",122,1
123,1,"Elongated with a large bright nucleus.  The spiral arms are thin and close-in against the disk.",123,1
124,1,"Spindle-shaped with a dust lane that splits the disk in two.",124,1
125,1,"Very elongated with a mottled disk.",125,1
126,1,"Very elongated with bright nucleus and bar.   Diffuse spiral arms, but separated from the disk.",126,1
127,1,"Central star mag 16.  Round with two darker regions inside the ring.",127,1
128,1,"Bright core, with a medium concentration of stars.",128,1
129,1,"Face-on interacting galaxy with NGC 5195.",129,1
130,1,"Elongated spiral with many tight arms.   Small nucleus.",130,1
131,1,"Face-on with inner disk showing almost no extension to the spiral arms.  Very faint outer diffuse structure,.",131,1
132,1,"Very elongated with bright inner disk.   The outer disk is diffuse.",132,1
133,1,"Box-shaped with SFRs on N side.",133,1
134,1,"Interacting pair (Arp 269) with NGC 4485 (4' N).   Large mottled core with thick stubby arms extending NE to SW.",134,1
135,1,"Edge-on, largely uniform in brightness with very small nucleus.  Very faint dark lane, probably not reachable visually.",135,1
136,1,"Small core, nearly edge-on with bright inner disk, fainter outer disk.",136,1
137,1,"Small core, face-on.  One spiral arm extends to the W.",137,1
138,1,"Face-on with extended spiral arms and a very small core.",138,1
139,1,"Elongated cotton ball with galaxies on either side (NGC 4394 W 8';  IC 3292 E 9').   NGC 4394 is a barred spiral nearly face on.",139,1
140,1,"Center of Markarian's Chain.  Several bright galaxies (M84, NGC 4435/8 have their own entries).
M 86 has a bright core and very faint outer halo.   17' N, NGC 4402 is edge-on.",140,1
141,1,"Elliptical, rounder than M 86.   Center on NGC 4387 to put the ""face"" centered in the FOV.",141,1
142,1,"Bright globular cluster with extended halo of stars.",142,1
143,1,"Unconcentrated, irregular shape.",143,1
144,1,"Edge on galaxy with long extended disk and dust lane.",144,1
145,1,"Largoe core, fainter outer disk.",145,1
146,1,"Large galaxy.  The SW side has a prominent dust lane.",146,1
147,1,"Small concentrated GC.",147,1
148,1,"Edge-on and slightly non-uniform shape.   Dark lane.  Companion galaxy NGC 4627 is 3' N, small and round.  Makes for an interesting pair.

NGC 4656 is nearby SE.",148,1
150,1,"Twisted spiral structure, edge-on.   NE side is much brighter than the SW side with a ""hook"" at the end.",150,1
151,1,"Faint spiral arms atop the bright disk.  Elongated.",151,1
153,1,"Prominent nucleus and bar;  fainter spiral arms.",153,1
155,1,"Face on with many spiral arms.",155,1
156,1,"Pair of face-on galaxies with NGC 3512 (12' NNE).   NGC 3504 has a SE/NW bar with a bright distinct ring;  NGC 3512 is a Sc galaxy with bright arms.",156,1
158,1,"Bright nucleus; disk has a hint of the spiral arm structure.",158,1
160,1,"Despite the stated magnitude, this cluster is harder than it appears for some reason.  Over 100 stars.",160,1
162,1,"Elongated with a bright nucleus, prominent bulge, and pointy edge-on disk.  No other features.",162,1
163,1,"Oval inner core with outer irregular structure.   Central star 13th magnitude.",163,1
164,1,"Nearly edge-on, with very bright inner arms and very faint outer stucture.",164,1
165,1,"Nearly edge-on;  bulge halo, bright central core.  No features in outer disk;  inner disk weakly apparent.",165,1
166,1,"Very large and elongated.  LSB.",166,1
167,1,"Elongated, with several knotty arms.",167,1
168,1,"",168,1
169,1,"",169,1
170,1,"Local Group starburst galaxy.  Difficult to observe because it is close to the galactic plane.",170,1
171,1,"Edge-on with a bright linear inner disk and long fainter tails.   11' NW is another elongated lenticular (NGC 4754) with a bright core and hazy halo.   No features.",171,1
173,1,"Two galaxy pairs.  M 60 is elliptical interacting with spiral NGC 4647 (elongated with several tight, fluffy spiral arms).  14' SW is the small faint pair NGC 4637/8.",173,1
